p_E,p_F,objective,beta1,beta2,beta3,beta4,beta5,phi1,phi2,phi3,phi4,phi5,lambda_A1,lambda_A2,lambda_A3,lambda_A4,lambda_A5,sigma_A1,sigma_A2,sigma_A3,sigma_A4,sigma_A5,lambda_C1,lambda_C2,lambda_C3,lambda_C4,lambda_C5,sigma_C1,sigma_C2,sigma_C3,sigma_C4,sigma_C5
0.1,0.1,-2685425.7750236662,0.10560302249498169,0.7571402410182464,0.35650194156149262,0.0,0.78021065894691355,0.0,0.0,0.0,0.0,0.0,6164924.4794560708,1444330.4220696813,1637588.7948311865,2822071.5402480108,6469580.5876453603,2717450.8888100944,1868123.7026119812,1868579.044115104,2767376.2842478035,2151841.0956306765,979548.07308305986,1590917.4082852507,12601539.889775908,3843384.1443587202,4950593.4718100894,251.84390724703823,865.96896708815143,543.3164906120478,364.78209015463102,664.3032589240712
0.1,0.2,-5712631.0974259665,0.42299453398719267,0.0,0.0,0.0,0.2187324320153114,0.0,0.0,4.1415546547796112,0.0,0.0,6719000.3273339998,1811269.1994650699,4680847.2870461466,4092121.2713812338,6033616.232954124,804890.0247912273,2787358.8965111179,2857111.6547400802,2475450.5340604978,439652.98676926148,1477141.9061258093,1986481.3671187302,7521336.9241925105,3602530.0323372176,4950593.4718100894,902.86840505429552,650.88311460958153,328.35125949558858,249.37821604115609,996.54085494536844
0.1,0.5,-15425618.202322003,0.23401503970719384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8382064455363434,3615480.3826071033,3073105.9524348052,8072138.9108129442,2728756.1568725295,12566340.079991896,1245924.4438187075,2320289.9671129752,2790595.050852648,282472.96746534843,2683657.2108219289,1349179.7938687962,1574976.6695152812,13763891.325607812,4741531.4327850221,4950593.4718100894,52.226658720976822,869.86506082502717,921.86994459234347,975.63052525917487,687.76167181848064
0.1,1.0,-31816820.839593619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.353201211430132,8377776.8381652432,4437676.6091051809,8072138.9108129442,7731615.1202749144,13061936.12197168,2226524.6850712881,2684511.0713664265,2442929.7057290175,1177996.3133657686,231583.82239454656,1228726.7168431701,847027.09467869194,10014762.109282829,2554274.1257747132,4950593.4718100894,459.76225343866321,103.70960182295111,573.14948741279682,215.78485023062916,523.01676650674017
0.1,2.0,-63693663.943620287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9128418545005843,8726017.3879921958,4437676.6091051809,8072138.9108129442,7731615.1202749144,26170196.078431372,1711625.2691202743,2815440.781741431,2348927.0075167394,1772663.5007178485,1724822.891810246,886537.40536586056,1557523.7810241338,10960595.988847004,4621998.5380462185,4030275.5886252401,283.20980892160208,639.07975112172574,393.35190800866468,465.54516927511594,187.53689506079925
0.1,5.0,-162510078.66566753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.680060126556782,0.0,15349177.200652489,4437676.6091051809,8072138.9108129442,7731615.1202749144,26170196.078431372,63589.177069990452,1034077.3450779771,1231657.8318916801,2049857.8314186267,2064526.598911945,1245579.8162278337,1875195.8165835596,10422501.581845582,4264837.3543414064,1398593.9740157984,578.00930572480593,597.34495743027799,579.25822134384202,791.43107206630555,7.3680799274512587
0.1,10.0,-322899648.51380354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16557777.777777778,4437676.6091051809,8072138.9108129442,7731615.1202749144,26170196.078431372,2628578.5519080292,1250102.0447274821,2228462.0431350782,844095.79085585242,1991752.3517264377,1669578.5302876227,2132184.4025877723,9086658.3464251682,4662691.7701882264,4950593.4718100894,24.116899257513861,821.23266348811774,234.67642880655288,948.3696909343555,381.35637418215941
0.2,0.1,-2741490.336979216,0.68850791198496841,0.565841696532285,0.2534461916533749,0.0,0.0,0.0,0.0,0.0,0.0,229.84056613495341,2827251.0671304036,544510.71530886053,2943584.905073659,3847257.9297786653,4718688.9712935472,379520.94357751444,39867.263690463784,615751.11514940299,1746451.498093558,470749.32091075293,1713382.0979451446,1111527.8769661626,7913106.1692363257,3343789.1321588443,4950593.4718100894,430.58133662747252,389.6792513295693,370.29002406592929,421.35408370112197,683.35748608080667
0.2,0.2,-5786460.6047369074,0.1807039360433495,0.13092256991838908,0.0,0.0,0.0,0.0,0.0,220.15660761098843,0.0,0.0,3185432.7940445505,1325747.3639092529,5043309.6433292078,4302175.5415068446,8396443.1388985328,2292153.9971675389,2270371.3853840833,2002492.3316239663,2244892.0124176829,1869559.3806113566,1320424.8114915548,1023814.1062826961,10891582.057940086,3067953.8970207213,4950593.4718100894,487.24505283412253,299.47095105997818,746.58098384595098,260.99436342650495,798.4846990134829
0.2,0.5,-15327330.805641862,0.48789413950916871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7609215.2584833819,2212331.3291252716,8072138.9108129442,6212475.011808739,18030047.961610153,2847905.7030787012,1256672.4716214042,2602618.1538058938,1869853.5327216857,1359246.7906857536,1383325.0116923265,2053268.9808881506,11462175.552286575,2931424.7418841408,4950593.4718100894,752.14832245450839,842.74245325213394,807.14975411429089,297.00443545823407,955.78292058961017
