p_E,p_F,objective,beta1,beta2,beta3,beta4,beta5,phi1,phi2,phi3,phi4,phi5,lambda_A1,lambda_A2,lambda_A3,lambda_A4,lambda_A5,sigma_A1,sigma_A2,sigma_A3,sigma_A4,sigma_A5,lambda_C1,lambda_C2,lambda_C3,lambda_C4,lambda_C5,sigma_C1,sigma_C2,sigma_C3,sigma_C4,sigma_C5
0.21826447283974881,0.47639380104013429,-14419754.769591238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5344863.8863402978,2253837.9110239148,8072138.9108129442,6668465.1249281531,14234286.497857988,2519531.0583205088,1729966.6612334473,2836008.9319379008,2713346.9530789088,1930224.2836645425,1313328.0215314394,3436767.6298026182,6908486.8477033107,4260006.0689210063,4950593.4718100894,566.79470806263726,851.6286540274051,268.37168834869362,731.43021345549744,899.84099307475378
0.21826447283974881,0.51506780761681259,-15935107.304379407,0.60617311235065618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5794984.660908726,2659268.7127405321,8072138.9108129442,5558763.8050711788,11858532.107379356,981291.66135654214,1333845.8342619638,1773259.7295457146,1842003.5876625248,2166270.299084485,1490445.9793135985,1414258.0266715658,11111598.802978558,4636652.1370989755,4950593.4718100894,894.84605341633596,683.01206545063394,854.86799599121719,848.34827239984338,545.02502053038893
0.21826447283974881,0.55688139909452716,-17161844.495863739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7319850.9020734923,1878632.0748276692,8072138.9108129442,7549729.6746996986,16141584.766645899,1413207.3992728163,2354816.2742395578,1905717.7506477763,2431981.5617781049,1977006.756605865,1533840.8402012405,1822306.5729467382,11372620.97905476,4254422.6847056197,4950593.4718100894,628.46374438859755,934.74594146971288,811.47878132812809,679.02779878119486,521.06547509242625
0.21826447283974881,0.60208944933361319,-18458109.083307162,0.22759617186980713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4748079.0697843051,2272386.406163543,8072138.9108129442,6723664.9103515781,12722174.229062704,2747388.4412388015,1156566.1711007364,2846090.4774883203,2592476.3323384286,2308783.8530000919,1636586.7222757365,1766062.220844612,11803151.978900889,3531072.369563296,4950593.4718100894,790.36133333230555,808.97066050855767,922.4052246229395,397.44540773367817,918.51736022022135
0.21826447283974881,0.65096752304581718,-20369681.287402987,0.40508545925921802,0.0,0.0,0.0,0.0,271.22450774186291,0.0,0.0,0.0,0.0,5907368.4443500871,2882977.1578467367,8072138.9108129442,7011861.9013382988,15395856.916182376,1627472.5707572126,2249266.1196372253,1584485.277411205,2899795.08641499,2100392.1711760382,1189627.7950010973,2122458.1127971169,6113079.8792605847,2841332.5756741078,4950593.4718100894,534.37159409816957,984.71732682301649,173.24487402916768,201.13448608332811,731.45226013001957
0.21826447283974881,0.70381355549315583,-21884977.133983798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5859813.418961619,2478571.5533591774,8072138.9108129442,7173016.736840317,17426202.559503786,867701.20222725475,70482.556108854013,2537784.39551677,2880785.3258212921,2068529.7883084563,1683153.047486593,1373554.5500573397,14061299.846970527,4726955.7086814139,4950593.4718100894,745.38627756716448,613.57549651159752,949.22456792962294,982.33094300995458,719.87763651538796
0.21826447283974881,0.760949668545988,-23992365.314845797,0.0,0.11884863006527557,0.0,0.0,0.0,0.0,89.809418568620458,0.0,0.0,0.0,5744824.5810130192,1234912.986431024,8072138.9108129442,7731615.1202749144,18497492.293899693,2255023.1266413257,245372.76241283256,2195762.504079957,1800313.6195230247,2225812.1606678832,854282.17399738461,791961.14729367394,16738788.870703764,4452969.1070863558,4950593.4718100894,91.663778507712294,170.47047651983522,701.58256856407218,486.49603173964402,778.60809168531819
0.21826447283974881,0.82272413417004731,-25654524.290381141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.79140317637939,13285212.090045871,4070796.0399742671,8072138.9108129442,7731615.1202749144,19621919.09446561,1162057.4277865523,946044.40570408851,2554768.070481577,2777811.2059423006,1320722.3891255283,1416010.1857189427,1178454.079718038,9868828.2165206578,5226248.5481997672,4950593.4718100894,770.54780394894487,436.60680870603125,644.3052962323859,831.3061019580374,637.28840721265271
0.21826447283974881,0.88951349731082385,-27944653.139584459,0.0,0.0,0.0,0.0,0.0,0.0,138.73159332433715,0.0,0.0,0.0,11456943.082225872,4437676.6091051809,8072138.9108129442,5487921.3489483837,22700876.910950787,2986439.5130320713,2968373.9373957398,2892856.0368813304,681086.24941312813,1028400.9926939621,1297229.633370345,232391.51832368426,12083633.548450766,5226248.5481997672,4950593.4718100894,699.24713524962999,6.5774334860277328,751.59155699710846,810.03511751667122,514.50070924644285
0.21826447283974881,0.9617248711152967,-29999763.700650807,0.0,0.0,0.0,0.0,0.0,68.393887886486482,0.0,0.0,0.0,0.0,6391650.8529287046,4437676.6091051809,8072138.9108129442,7731615.1202749144,21745160.571253493,2957314.4190046685,2561396.3899880792,2401564.7187126195,2823218.5916439584,2984317.7333341204,2016112.6558764111,1474427.5359842379,11223100.930903593,4368592.555552721,4950593.4718100894,891.69414589779387,352.59735567245019,909.65590194877348,425.55661941970919,305.85986334577808
0.21826447283974881,1.0397984184814906,-32525658.565828584,0.0,0.0,0.0,0.0,0.0,152.11730897135567,0.0,0.0,0.0,0.0,8823499.9813881405,4179738.1013333942,8072138.9108129442,7731615.1202749144,23945525.236923575,2428097.465655792,2207035.723598558,1898958.4423446108,2419517.9743447732,2807745.9957378241,1409441.5862911658,1730535.4641204404,10598713.621116644,4601801.7638020553,4950593.4718100894,854.04608758865515,284.50038708019383,730.27586048759611,860.48060430499379,654.21182761924456
0.21826447283974881,1.1242100350620869,-35210370.309279062,0.0060770176234130613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8779341.9973888006,4157661.0973394983,8072138.9108129442,7731615.1202749144,19808115.037662301,147366.90575844492,2157916.9020514567,2906963.1685718987,2647989.4792583105,924131.38395932748,1184813.1860155417,2841254.7995730434,16738788.870703764,4082627.791663487,4950593.4718100894,410.07835488874179,997.00958569698412,981.49911271005328,404.52121527871878,909.44849554821189
